2.681598317604119757e+02 1.617016602725091445e+02
3.307957942296694114e+02 1.603840087443061293e+02
3.882239856876686304e+02 1.604371675947838867e+02
2.716914713949641964e+02 1.087344296342016463e+02
2.224483415496354723e+02 1.076788904183996465e+02
1.692354909024236349e+02 1.061321111847889824e+02
2.003991076249345724e+02 1.311486855460487106e+02
2.031108778877356258e+02 1.173774727439100332e+02
3.358310044122080171e+02 1.196943705250044161e+02
3.351040945503485204e+02 1.337112033360474186e+02
