2.520000000000000000e+02 1.980000000000000000e+02
3.290000000000000000e+02 2.070000000000000000e+02
4.130000000000000000e+02 2.180000000000000000e+02
5.130000000000000000e+02 1.650000000000000000e+02
4.430000000000000000e+02 1.590000000000000000e+02
3.790000000000000000e+02 1.530000000000000000e+02
3.080000000000000000e+02 1.720000000000000000e+02
3.080000000000000000e+02 1.560000000000000000e+02
4.860000000000000000e+02 1.730000000000000000e+02
4.850000000000000000e+02 1.900000000000000000e+02
